time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-06-23T13:30:50.581Z,35.86291885,-96.70838928,3.2587502,1.49,ml,18,74.03187561,0.1007359326,0.5159883946,ok,ok2020mgyh,2020-06-23T13:32:51.879Z,"10 km NE of Kendrick, Oklahoma",earthquake,3.195060617,2.412533643,,13,automatic,ok,ok
2020-06-23T13:17:29.680Z,19.1669998168945,-155.474166870117,34.5499992370605,2.06,ml,48,87,,0.100000001,hv,hv72012831,2020-06-23T13:23:01.340Z,"4 km S of P?hala, Hawaii",earthquake,0.53,0.649999976,3.4,7,automatic,hv,hv
2020-06-23T13:17:23.870Z,38.1752,-117.829,8.5,1.6,ml,18,95.4,0.043,0.1,nn,nn00752309,2020-06-23T13:35:21.895Z,"34 km SE of Mina, Nevada",earthquake,,1.1,,,automatic,nn,nn
2020-06-23T13:12:34.100Z,38.1508,-117.962,13.9,1.4,ml,17,116.51,0.026,0.09,nn,nn00752305,2020-06-23T13:16:00.755Z,"29 km SSE of Mina, Nevada",earthquake,,0.7,,,automatic,nn,nn
2020-06-23T13:09:50.110Z,35.8121667,-117.6376667,9.5,1.38,ml,20,70,0.03283,0.15,ci,ci39491864,2020-06-23T13:29:59.270Z,"22km N of Ridgecrest, CA",earthquake,0.3,0.65,0.169,17,reviewed,ci,ci
2020-06-23T13:05:06.370Z,17.919,-66.5851,6,2.38,md,16,198,0.1256,0.13,pr,pr2020175018,2020-06-23T13:31:05.958Z,"10 km SSE of Ponce, Puerto Rico",earthquake,0.38,0.24,0.2,4,reviewed,pr,pr
2020-06-23T13:01:55.710Z,38.1647,-118.1623,7.6,1.2,ml,12,120.71,0.097,0.07,nn,nn00752303,2020-06-23T13:13:39.277Z,"25 km S of Mina, Nevada",earthquake,,7.2,,,automatic,nn,nn
2020-06-23T12:59:23.700Z,38.2083,-117.735,3.4,2.1,ml,24,50.32,0.122,0.13,nn,nn00752299,2020-06-23T13:03:44.747Z,"38 km ESE of Mina, Nevada",earthquake,,1.3,,,automatic,nn,nn
2020-06-23T12:48:53.340Z,38.1618,-117.9177,5.5,1.5,ml,11,86.62,0.027,0,nn,nn00752296,2020-06-23T13:00:00.574Z,"30 km SSE of Mina, Nevada",earthquake,,0.5,,,automatic,nn,nn
2020-06-23T12:48:38.110Z,33.5306667,-116.5248333,14.08,1.02,ml,16,114,0.02725,0.15,ci,ci39491824,2020-06-23T12:52:29.372Z,"14km E of Anza, CA",earthquake,0.34,0.41,0.378,13,automatic,ci,ci
2020-06-23T12:36:53.180Z,33.9683333,-116.7936667,15.7,0.6,ml,15,72,0.05502,0.34,ci,ci39491816,2020-06-23T12:40:39.934Z,"6km N of Cabazon, CA",earthquake,0.85,1.52,0.128,17,automatic,ci,ci
2020-06-23T12:35:18.730Z,38.1822,-117.9553,6.1,1.1,ml,13,100.86,0.029,0.15,nn,nn00752295,2020-06-23T12:49:59.539Z,"26 km SSE of Mina, Nevada",earthquake,,0.7,,,automatic,nn,nn
2020-06-23T12:33:35.890Z,38.172,-117.963,6.7,1.2,ml,16,132.89,0.012,0.14,nn,nn00752292,2020-06-23T12:37:20.471Z,"27 km SSE of Mina, Nevada",earthquake,,0.8,,,automatic,nn,nn
2020-06-23T12:30:50.360Z,38.8198318,-122.7884979,1.61,0.87,md,12,83,0.008963,0.04,nc,nc73414571,2020-06-23T12:51:05.498Z,"6km NNW of The Geysers, CA",earthquake,0.33,0.93,,1,automatic,nc,nc
2020-06-23T12:25:54.290Z,33.3836667,-116.3145,4.22,0.59,ml,18,144,0.02163,0.2,ci,ci39491784,2020-06-23T12:29:35.861Z,"15km NNE of Borrego Springs, CA",earthquake,0.51,0.73,0.146,10,automatic,ci,ci
2020-06-23T12:25:39.460Z,36.7801666,-121.4953308,3.75,1.86,md,27,49,0.02673,0.17,nc,nc73414566,2020-06-23T12:40:05.443Z,"8km SSE of San Juan Bautista, CA",earthquake,0.37,0.49,0.19,19,automatic,nc,nc
2020-06-23T12:23:09.970Z,33.5811667,-116.8116667,19.89,1.19,ml,12,167,0.04162,0.17,ci,ci39491776,2020-06-23T12:26:55.874Z,"13km WNW of Anza, CA",earthquake,1.41,1.26,0.495,12,automatic,ci,ci
2020-06-23T12:14:51.340Z,33.492,-116.4856667,13.23,0.49,ml,17,82,0.07551,0.14,ci,ci39491768,2020-06-23T12:18:17.824Z,"19km ESE of Anza, CA",earthquake,0.36,0.63,0.085,12,automatic,ci,ci
2020-06-23T12:12:11.560Z,38.0793,-118.0653,4.5,0.6,ml,10,189.92,0.035,0.12,nn,nn00752290,2020-06-23T12:34:38.887Z,"34 km S of Mina, Nevada",earthquake,,10.1,,,automatic,nn,nn
2020-06-23T12:11:14.470Z,37.7123,-117.7405,7,1.5,ml,8,193.16,0.45,0.13,nn,nn00752291,2020-06-23T12:34:45.683Z,"10 km WSW of Silver Peak, Nevada",earthquake,,13.6,,,automatic,nn,nn
2020-06-23T12:09:05.800Z,37.6105003,-119.029335,0.04,1.13,md,7,150,0.000938,0.02,nc,nc73414561,2020-06-23T12:23:04.336Z,"5km WSW of Mammoth Lakes, CA",earthquake,1,0.8,0.2,8,automatic,nc,nc
